match_id,participant_id,summoner_name,puuid,champion,team,role,timestamp,gold,current_gold,level,xp,minions_killed,jungle_minions_killed,items,kills,deaths,assists
NA1_5268077440,1,SτΨαi#STR,RDnK7jN81zbheBbytSezRf0RlsITaG1qFYC39XzpUEa5s5-l5eaRv-SqCqzAPNV7ScMUZQEPplW34Q,Rumble,Blue,TOP,1min,500,0,1,0,0,0,"1056,2003,2003,3340",0,0,0
NA1_5268077440,1,SτΨαi#STR,RDnK7jN81zbheBbytSezRf0RlsITaG1qFYC39XzpUEa5s5-l5eaRv-SqCqzAPNV7ScMUZQEPplW34Q,Rumble,Blue,TOP,5min,1500,250,5,1848,28,0,"1056,2003,2003,3340,1001,1052,2003",0,0,0
NA1_5268077440,1,SτΨαi#STR,RDnK7jN81zbheBbytSezRf0RlsITaG1qFYC39XzpUEa5s5-l5eaRv-SqCqzAPNV7ScMUZQEPplW34Q,Rumble,Blue,TOP,10min,3829,1329,8,4847,77,0,"1056,2003,2003,3340,1001,1052,2003,3009,2508,2003",1,0,2
NA1_5268077440,1,SτΨαi#STR,RDnK7jN81zbheBbytSezRf0RlsITaG1qFYC39XzpUEa5s5-l5eaRv-SqCqzAPNV7ScMUZQEPplW34Q,Rumble,Blue,TOP,15min,5525,225,11,7452,110,2,"1056,2003,2003,3340,1001,1052,2003,3009,2508,2003,3147,2031,6653,1052,3363,2055,2055",2,1,2
NA1_5268077440,1,SτΨαi#STR,RDnK7jN81zbheBbytSezRf0RlsITaG1qFYC39XzpUEa5s5-l5eaRv-SqCqzAPNV7ScMUZQEPplW34Q,Rumble,Blue,TOP,20min,7194,54,12,9803,145,2,"1056,2003,2003,3340,1001,1052,2003,3009,2508,2003,3147,2031,6653,1052,3363,2055,2055,1052,3145,1058",2,2,4
NA1_5268077440,2,Mahiru Shiina#LCS,nuFrArR40u2gGzw5IC0o7ib3huPgLkVEXMw1Pj1iQQP8AkUIdFfZdzSXoens-AKgr0DQQPw3C2nkJQ,XinZhao,Blue,JUNGLE,1min,500,0,1,0,0,0,"1102,3340,2003",0,0,0
NA1_5268077440,2,Mahiru Shiina#LCS,nuFrArR40u2gGzw5IC0o7ib3huPgLkVEXMw1Pj1iQQP8AkUIdFfZdzSXoens-AKgr0DQQPw3C2nkJQ,XinZhao,Blue,JUNGLE,5min,1963,63,4,1322,0,24,"1102,3340,2003,2021,3133,1036,3364",1,1,2
NA1_5268077440,2,Mahiru Shiina#LCS,nuFrArR40u2gGzw5IC0o7ib3huPgLkVEXMw1Pj1iQQP8AkUIdFfZdzSXoens-AKgr0DQQPw3C2nkJQ,XinZhao,Blue,JUNGLE,10min,4574,99,7,3434,0,52,"1102,3340,2003,2021,3133,1036,3364,2021,1028,2055,6610,3067",5,1,3
NA1_5268077440,2,Mahiru Shiina#LCS,nuFrArR40u2gGzw5IC0o7ib3huPgLkVEXMw1Pj1iQQP8AkUIdFfZdzSXoens-AKgr0DQQPw3C2nkJQ,XinZhao,Blue,JUNGLE,15min,6499,2019,9,5815,8,82,"1102,3340,2003,2021,3133,1036,3364,2021,1028,2055,6610,3067",6,1,3
NA1_5268077440,2,Mahiru Shiina#LCS,nuFrArR40u2gGzw5IC0o7ib3huPgLkVEXMw1Pj1iQQP8AkUIdFfZdzSXoens-AKgr0DQQPw3C2nkJQ,XinZhao,Blue,JUNGLE,20min,7780,950,11,7407,9,90,"1102,3340,2003,2021,3133,1036,3364,2021,1028,2055,6610,3067,3071,2055,2055",6,1,6
NA1_5268077440,3,C9 Loki#kr3,IO163wGsEEVEwGBjI9S_M43T_7KgiiNb3J3qcmJXAdQ2we3PZWDMmHs3mJW8itdUBAm2DkQKXOvRlg,Hwei,Blue,MIDDLE,1min,500,0,1,0,0,0,"1056,2003,2003,3340",0,0,0
NA1_5268077440,3,C9 Loki#kr3,IO163wGsEEVEwGBjI9S_M43T_7KgiiNb3J3qcmJXAdQ2we3PZWDMmHs3mJW8itdUBAm2DkQKXOvRlg,Hwei,Blue,MIDDLE,5min,1655,705,5,1824,35,0,"1056,2003,2003,3340,1052,2003",0,1,1
NA1_5268077440,3,C9 Loki#kr3,IO163wGsEEVEwGBjI9S_M43T_7KgiiNb3J3qcmJXAdQ2we3PZWDMmHs3mJW8itdUBAm2DkQKXOvRlg,Hwei,Blue,MIDDLE,10min,3964,709,8,4407,86,0,"1056,2003,2003,3340,1052,2003,3802,1052,2055,1001,2508,2031,2055",1,3,2
NA1_5268077440,3,C9 Loki#kr3,IO163wGsEEVEwGBjI9S_M43T_7KgiiNb3J3qcmJXAdQ2we3PZWDMmHs3mJW8itdUBAm2DkQKXOvRlg,Hwei,Blue,MIDDLE,15min,6736,516,11,7607,149,2,"1056,2003,2003,3340,1052,2003,3802,1052,2055,1001,2508,2031,2055,2503,1052,2055,3363,3147,3020,2055",2,3,2
NA1_5268077440,3,C9 Loki#kr3,IO163wGsEEVEwGBjI9S_M43T_7KgiiNb3J3qcmJXAdQ2we3PZWDMmHs3mJW8itdUBAm2DkQKXOvRlg,Hwei,Blue,MIDDLE,20min,9607,1272,13,10790,199,2,"1056,2003,2003,3340,1052,2003,3802,1052,2055,1001,2508,2031,2055,2503,1052,2055,3363,3147,3020,2055,1052,2508,6653,1052,2055",4,4,2
NA1_5268077440,4,Tomo#0999,peziiYo-WsKzIaxbfiv5vl8esIdKjJI_PnWbt1BhsDUR4CLirLYAJPp9SJKBketLaFyQH1a-LBHOZw,Corki,Blue,JUNGLE,1min,505,5,1,0,0,0,"1055,2003,3340",0,0,0
NA1_5268077440,4,Tomo#0999,peziiYo-WsKzIaxbfiv5vl8esIdKjJI_PnWbt1BhsDUR4CLirLYAJPp9SJKBketLaFyQH1a-LBHOZw,Corki,Blue,JUNGLE,5min,2009,104,3,1060,23,0,"1055,2003,3340,2003,1038,2003",2,2,0
NA1_5268077440,4,Tomo#0999,peziiYo-WsKzIaxbfiv5vl8esIdKjJI_PnWbt1BhsDUR4CLirLYAJPp9SJKBketLaFyQH1a-LBHOZw,Corki,Blue,JUNGLE,10min,4239,159,7,3616,69,0,"1055,2003,3340,2003,1038,2003,1053,2055,3072",4,3,0
NA1_5268077440,4,Tomo#0999,peziiYo-WsKzIaxbfiv5vl8esIdKjJI_PnWbt1BhsDUR4CLirLYAJPp9SJKBketLaFyQH1a-LBHOZw,Corki,Blue,JUNGLE,15min,6266,571,9,5558,113,0,"1055,2003,3340,2003,1038,2003,1053,2055,3072,1001,1037,1037,2055,1036,3363",4,5,2
NA1_5268077440,4,Tomo#0999,peziiYo-WsKzIaxbfiv5vl8esIdKjJI_PnWbt1BhsDUR4CLirLYAJPp9SJKBketLaFyQH1a-LBHOZw,Corki,Blue,JUNGLE,20min,8592,527,12,8686,166,8,"1055,2003,3340,2003,1038,2003,1053,2055,3072,1001,1037,1037,2055,1036,3363,3508,1037",5,6,2
