Name,Tier,Points,PUUID
In Rainbows#NA2,MASTER,422,haWNoK2fUJJcyYnFtroAjwz2jBCns1n60Vv6U6otj-B-Umg2t5KQV99ksSXPMBYZmKYoWQgg6hDONA
pupupu2#NA1,MASTER,402,IMbsCYqhVvRf9ti3x1FH1YlweVC2t3zfcKcZFSOQEtLpfpPOm-Xm3D6eo97A7lKw_fuXsJY6Bx4qFA
LeBlanc MIA#Mimic,MASTER,402,_xx8Bl3yOCfVxHqgxTTmvn2CjokQJEhcJDT5M-UISlrRkgaPBGhp0TmX21zsa-BmdX99u09yko1asQ
Shimmer#NA1,MASTER,402,GI3jDrIO9VVBK2q5B7NjIV9zpkwcjxjeHn4lVUT2t_cpP0yQ42uG3y1jDSJpso068eDHXM19kIVScA
KUMA#10318,MASTER,402,rpa5dDO-M1NORjJmlrjJ1KAkAauwYMGbQHt9vC09deKTOgGtBcXSg60kxc6yPRVkUXYlVslMOeoY1w
Throatbruiser#666,MASTER,402,Rvdl2MbFsFGzYWNFj_bWNvDXLef552e7AiAtG1ojv3697mchz4NTZ2h7AzE4TC4qcq15isIHCiAH6A
BlueLeafKID#1219,MASTER,401,sX3y12P-JzfK7xJmG0uyfHkuJ_KNiBf8Xz6qCUkSb555oKUnwZj3exK2j6ooLvskZg2ah9awpK2rIQ
Kiyanavi#NA1,MASTER,400,BV1WnDPcTxvsgRR40dREdfKYdw_ByZPhCTT70RsCznWKHtBwbuvsGNKG6lhu8U_A5vZlVOPR9XHwGQ
D1anGun#666,MASTER,400,ZRwr3MXabr0sorSH0lfA2kDpKeu1ZVGwtNy_Flb2tYyMh5uzCj8j65VZjJQI64U4PaLU0vrCAu42qQ
snoopydragon#bacc,MASTER,400,f4LRs2FBmywqXAhMnme3oQthYMkO6_awO6cNYuFd4wvo4xVpebXwBhLksiKPiRai-GdqUBdwwp--QQ
Highnoon#JGDIF,MASTER,400,Ub-jJ0pLq1RkI3HqmTc2MED5trbHQYN87_1_RwXx8pIYjBREaznHJU1EaI6y_pVIi0bQri5YuUFcJw
ちいかわ#吉伊卡哇,MASTER,399,39xv7cCZ4NyJKMFTZNux_PDQNCMo4iIbFnN_z8Kf_SpxLVBn52LzRF-8ys3yftZp2LRmsrkvC2vfag
JetStorms#OSRS,MASTER,399,mA3X8yOvaL6EuLv5BY-agIirAj8YLg7SsO5MzngvrNA10nDLnJbvzjWS2LOB-NFN5W98Y3_3HXd22w
MiaXSun#ZXN,MASTER,399,1-JqSZdapDHuiACrwAcI2HluqPjYTx8vZfKnRO0m_fIy_Y51eQXYivdczslnGlm6lVBgizHyxS8VsA
Jido#000,MASTER,399,DusUaYxQpOhCDzvNcpn-5g0op_QcqvugTiL4xkaRrloVWzNMBrMtRdRSjr4uQHvOrE0z-bbH6u3uDA
TTV EnerChi#TTV,MASTER,399,zElI1I_hVTY--Phl0NE8TmLEMwYDrERsNZQd3EXceM5w7aDvO4NSDe1qnnKDGixLFaWgMACFCK8n5Q
mlgdoritosishigh#NA1,MASTER,397,2P0rVcRrpFZhYOapBfXCfHMVKRIxRdhqBcKgz62NY0Y96QKtr_McreoWZBkSf_y_g1XBDEo7_OQNNw
