Match ID,Time Stamp(mins),Champion,Skills,Kills,Deaths,Assists,KDA,Level,Experience,Objectives Assisted,Gold Earned,Current Gold,CS,Jungle CS,Vision Score
5190546001,5,K'Sante,"{<Key.Q: 'Q'>: 2, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",1,1,0,1.0,5,1583,0,1542,592,18,0,14
5190546001,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",2,3,0,0.6666666666666666,9,4065,0,3248,798,50,0,14
5190546001,15,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 3, <Key.R: 'R'>: 1}",4,4,0,1.0,11,7154,0,5633,983,90,0,14
5190546001,20,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 4, <Key.R: 'R'>: 2}",4,5,1,1.0,13,9327,1,7552,462,120,4,14
5190546001,25,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 2, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",4,6,2,1.0,15,11464,2,9200,610,157,4,14
5155664692,5,K'Sante,"{<Key.Q: 'Q'>: 2, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,1,0,0.0,5,1630,0,1424,924,28,0,26
5155664692,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",0,2,1,0.5,8,3726,0,2867,617,67,0,26
5155664692,15,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",0,2,2,1.0,10,5893,0,4485,685,94,0,26
5155664692,20,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 4, <Key.R: 'R'>: 2}",2,2,2,2.0,13,8787,1,6895,1090,141,0,26
5155664692,25,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 2, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,4,4,2.25,15,11826,1,9734,459,167,0,26
5155664692,30,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 3, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,5,7,2.4,16,14519,3,11744,1015,197,4,26
5141177564,5,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 3, <Key.W: 'W'>: 1}",0,0,0,0.0,6,1980,0,1495,990,30,0,17
5141177564,10,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 4, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",1,1,0,1.0,9,4668,0,3418,213,77,0,17
5141177564,15,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 3, <Key.R: 'R'>: 1}",1,2,1,1.0,11,7045,0,5029,324,115,0,17
5141177564,20,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 4, <Key.R: 'R'>: 2}",3,3,2,1.6666666666666667,13,9518,1,7525,515,141,0,17
5141177564,25,K'Sante,"{<Key.E: 'E'>: 2, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,3,5,3.3333333333333335,15,12109,3,9747,837,163,0,17
5139847628,5,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 3, <Key.W: 'W'>: 1}",1,0,0,1.0,6,1999,0,1664,1164,26,0,13
5139847628,10,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 4, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",1,0,0,1.0,9,4194,0,3120,220,61,0,13
5139847628,15,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",3,2,0,1.5,12,7400,0,5403,118,102,0,13
5139847628,20,K'Sante,"{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",3,3,0,1.0,14,10022,0,7132,947,151,1,13
5137360276,5,K'Sante,"{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,0,0,0.0,6,2002,0,1592,1092,35,0,13
5137360276,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",1,0,0,1.0,9,4823,0,3537,317,86,0,13
5137360276,15,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",2,1,0,2.0,12,7680,1,6250,1230,130,0,13
5137360276,20,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",4,1,2,6.0,14,11335,2,8773,903,174,4,13
5137360276,25,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 3, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,1,4,9.0,16,14157,3,11003,483,217,4,13
5137360276,30,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 4, <Key.W: 'W'>: 5, <Key.R: 'R'>: 3}",6,1,4,10.0,18,17361,3,13273,698,266,4,13
5132656171,5,K'Sante,"{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,0,0,0.0,6,2033,0,1611,1111,35,0,9
5132656171,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",0,0,1,1.0,9,4795,0,3429,1279,85,0,9
5132656171,15,K'Sante,"{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",0,0,1,1.0,12,7636,0,5225,1325,137,0,9
5132608116,5,K'Sante,"{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,1,0,0.0,6,1971,0,1466,266,30,0,5
5132608116,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",1,2,1,1.0,9,4563,0,3321,421,70,0,5
5102441809,5,K'Sante,"{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,0,0,0.0,6,2125,0,1431,931,28,0,12
5102441809,10,K'Sante,"{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",2,0,0,2.0,9,4913,3,3469,2169,67,0,12
